,news title,news source(url),content summary,keywords
15,Indian farmers head home after year-long protest,https://www.straitstimes.com/asia/south-asia/indian-farmers-head-home-after-year-long-protest,"NEW DELHI (AFP) - Thousands of Indian farmers were packing their belongings and dismantling tent cities on Saturday (Dec 11) as they headed home from the Delhi outskirts following a year-long protest against the government's agriculture policies.
In a rare retreat last month, Prime Minister Narendra Modi announced and pushed through Parliament the repeal of three contentious laws that farmers claimed would let private companies control the country's agriculture sector.
Hundreds of farmers danced and celebrated the victory early on Saturday as they began removing roadblocks and dismantling thousands of makeshift homes along major highways.
The government said the laws were a necessary reform but farmers opposed the move, saying it would leave them at the mercy of big corporations.
Farmers started local protests in northern Punjab and Haryana - India's breadbasket states - before tens of thousands headed to New Delhi to press their demands.","thousands, tens, yearlong, farmers, private, protest, laws, stop, head, delhi, repeal, indian"
16,Australian fruit farmers face harvest headache,https://www.straitstimes.com/asia/australianz/australian-fruit-farmers-face-harvest-headache,"NASHDALE, AUSTRALIA (AFP) - In near-perfect conditions, thanks to abundant rain and healthy trees, Australian fruit grower Michael Cunial's cherry orchard looks set to yield a bumper crop.
In common with most Australian fruit growers, Mr Cunial has paid seasonal workers for what they can pick.
He hires about 50 seasonal workers for the annual harvest and pays them piece rate.
Below minimum wageRuling on a complaint by the Australian Workers Union, it said seasonal farm workers should get the minimum hourly wage of A$25.41 (S$25.03).
I was among the top 10 per cent and I still only got A$9 an hour, less than half the minimum wage,"" he said.","headache, really, harvest, wage, minimum, farmers, face, system, work, workers, fruit, seasonal, australian"
17,India PM Modi fails to appease angry farmers,https://www.straitstimes.com/asia/south-asia/india-pm-modi-fails-to-appease-angry-farmers-now-marching-to-delhi,"Still, the farmers want to push ahead with their demands that include setting up of a mechanism to ensure farmers get minimum support rates for all harvests.
India currently fixes the rates for two dozen farm commodities, including some grains and pulses, and procures limited volumes for its welfare programs at those levels.
""We are not fond of sitting on the streets,"" Samyukt Kisan Morcha, an umbrella group of farmers' associations, said in a letter to Modi dated Nov 21.
Mr Modi's retreat on farm laws has already cast a shadow on the pace of reforms that his administration had promised.
Farmers form a powerful voting bloc in the country, where agriculture supports about 60 per cent of its 1.4 billion people.","farm, india, fails, farmers, state, modis, angry, indias, system, modi, rates, laws, reforms, welfare, appease"
18,Indian farmers pressure Modi for more after forcing his retreat,https://www.straitstimes.com/asia/south-asia/indian-farmers-pressure-modi-for-more-after-forcing-his-retreat,"However, the farmers are pushing on with the rest of their demands, and the protests look set to continue.
""The government must make a law for guarantee of minimum support price.
This is a question for our survival,"" said Mr Avik Saha, secretary of the All India Kisan Sangharsh Coordination Committee.
Until our demands, including compensation to families of farmers who died during protests, are met, ""our struggle will continue.""
The administration has previously said it will find it difficult to adopt a minimum support price as it involves huge budgetary expenditure.","protests, india, mr, farmers, state, minimum, retreat, pressure, support, modi, laws, pushing, vowed, indian, forcing"
19,Technology key to sustainable farming practices to feed the globe: Panel,https://www.straitstimes.com/singapore/technology-key-to-sustainable-farming-practices-to-feed-the-globe-bloomberg-forum-panel,"SINGAPORE - There is an increasing acknowledgement worldwide of how important technology is for sustainable farming practices that can continue to feed the growing global population, said panellists at the Bloomberg New Economy Forum on Thursday (Nov 18).
Mr Alloysius Attah, CEO of Ghanaian firm Farmerline Group, which aims to help farmers, said that it is key to get technology and knowledge to where they are truly needed.
""The transition from old practices to climate-smart practices actually slows down.
These methods will be part of the solution to improve farmer livelihoods and the greenhouse gas footprint of farming, he said.
There also needs to be a confluence of factors, such as the right technology and products and the right incentive system for farmers that improve their livelihoods while ensuring sustainability.","panel, practices, farming, technology, feed, company, farmers, information, climate, key, improve, right, globe, soil, sustainable"
20,Modi farm laws U-turn gives divided opponents another chance to unite,https://www.straitstimes.com/asia/south-asia/modi-farm-laws-u-turn-gives-divided-opponents-another-chance-to-unite,"Other Mr Modi opponents in the state, which holds a key election early next year, also raced to the scene.
""I am watching the various opposition parties and will give my vote to one of them, but not BJP,"" Mr Singh said.
Mr Modi's party is trailing opinion polls in Punjab, where Sikh farmers have been instrumental in the protests.
His apology for the farm laws came as the country celebrated the birth anniversary of the founder of the Sikh faith.
""It was clear that farm laws were going to be an irritation point in coming elections,"" said Dr Sandeep Shastri, the vice-chancellor of Jagran Lakecity University in the central Indian city of Bhopal.","protests, farm, opponents, mr, state, modis, bjp, party, opposition, unite, modi, uturn, laws, divided, election, gives, chance"
21,Singapore-based firm to build $13.7b wind farm off Ireland for green hydrogen facility,https://www.straitstimes.com/business/companies-markets/singapore-based-firm-to-build-137b-wind-farm-off-ireland-for-green,"LONDON (BLOOMBERG) - A Singapore-based offshore wind developer has signed an agreement to build a huge US$10 billion (S$13.7 billion) wind farm off the coast of Ireland to power a green hydrogen facility.
Europe has a goal of six gigawatts (GW) of installed green hydrogen by 2024, and 40GW by 2030.
""We see Europe as being a net consumer of green hydrogen,"" Mr Hatton said.
Enterprize is not seeking a subsidy for the wind farm.
The company is also developing a 3.4GW offshore wind farm in Vietnam and is looking at Brazil.","energy, production, farm, singaporebased, facility, signed, hatton, 137b, power, firm, green, build, ireland, hydrogen, wind"
22,Transforming Asia's food system to tackle our food and climate crises,https://www.straitstimes.com/business/invest/transforming-asias-food-system-to-tackle-our-food-and-climate-crises,"""Observed climate change is already affecting food security through increasing temperatures, changing precipitation patterns, and greater frequency of some extreme (weather) events… Food security will be increasingly affected by projected future climate change,"" said the IPCC.
However, it is clear that this can only be achieved if concerted efforts are made to reduce greenhouse gas emissions across all industries.
About 30 per cent of global greenhouse gas emissions are attributable to food production.
""Agriculture and the food system are key to global climate change responses,"" said the IPCC.
It noted that a combination of supply-side actions (such as efficient food production and transport) and demand-side interventions (including the reduction of food loss and waste) will reduce greenhouse gas emissions and enhance food system resilience.","global, change, production, asias, gas, resilience, crises, ipcc, climate, system, greenhouse, tackle, emissions, transforming, food"
23,Insect farming company wins social enterprise start-up of the year at President's Challenge awards,https://www.straitstimes.com/singapore/insect-farming-company-wins-social-enterprise-start-up-of-the-year-at-presidents-challenge,"Insect Feed Technologies won the Social Enterprise Start-up of the Year at the 6th biennial President's Challenge Social Enterprise Awards (PCSEA) ceremony on Thursday (Dec 2).
""Since I last conferred the President's Challenge Social Enterprise Awards in 2019, social enterprises have had to contend with massive disruptions and a plethora of new challenges resulting from the Covid-19 pandemic,"" she said.
Three awards were given out at the event organised by the Singapore Centre for Social Enterprise, raiSE.
Social enterprises are businesses that have specific social objectives.
Global was awarded the Social Enterprise of the Year award, for its work to promote the awareness of sustainability issues in children.","farming, pandemic, enterprises, company, singapore, waste, wins, social, presidents, halimah, startup, challenge, insect, enterprise, awards, food"
24,Crunch at ports may mean crisis for American farms,https://www.straitstimes.com/business/economy/crunch-at-ports-may-mean-crisis-for-american-farms,"The company typically ships 22,679 tonnes of its milk powder and butter out of ports each month.
Yet another crisis is also unfolding for American farm exports.
US farm exports have risen strongly this year, as the industry bounces back from the pandemic and benefits from a trade deal with China that required purchases of American agricultural products.
Delays at ports have particularly hurt products that move in corrugated metal containers, such as cheese, butter, meat, walnuts and cotton.
Mr Anderson said that his company's customers were beginning to look to suppliers in Europe, New Zealand and other countries for their purchases, even though the US dairy industry has a reputation for high quality.","mean, farm, crisis, cent, farmers, products, industry, farms, ports, crunch, dairy, struggling, milk, american, exports"
25,India farm protests to continue despite Modi's repeal of laws,https://www.straitstimes.com/asia/south-asia/india-farm-protests-to-continue-despite-modis-repeal-of-laws,"NEW DELHI (BLOOMBERG) - India's farmers will continue their protests even after Prime Minister Narendra Modi agreed to repeal controversial farm laws, and their demands include price guarantees for their crops, a senior farm leader said.
The laws were rushed through Parliament in September last year and resulted in tens of thousands of farmers across north India taking to the streets in protests.
Last Friday, Mr Modi attempted to end the protracted stand-off by agreeing to roll back that legislation in the next session of Parliament, starting on Nov 29.
The laws, which had already been suspended by the Supreme Court in January, allowed farmers to sell crops directly to private firms instead of licensed middlemen at state-controlled markets.
While Mr Modi said the laws would help them earn more cash, farmers feared those companies would not give them minimum prices set by the government.","prices, protests, farm, india, mr, farmers, despite, modis, crops, price, modi, parliament, laws, continue, repeal"
26,Farm law repeal must not derail reforms,https://www.straitstimes.com/opinion/st-editorial/farm-law-repeal-must-not-derail-reforms,"Taken together, the three laws changed decades-old rules around the sale, pricing and storage of farm produce - rules that also exposed farmers to the free market.
The laws also aimed to limit distortions that incentivised farmers to continue with unproductive cultivation at a steep cost to the environment.
Even Mr Modi's critics acknowledged that the reforms were overdue.
A minister from a key coalition partner that represents Sikhs resigned, and resistance mounted.
Through the waves of the Covid-19 pandemic and the harsh North Indian winter, protesters who marched and camped out on New Delhi's outskirts held firm.","wealthy, farm, farmers, withdraw, modis, minister, derail, winter, law, rules, laws, repeal, reforms, indian"
27,Sri Lanka ends farm chemical ban as organic drive fails,https://www.straitstimes.com/asia/south-asia/sri-lanka-ends-farm-chemical-ban-as-organic-drive-fails,"COLOMBO (AFP) - Sri Lanka abandoned its quest to become the world's first completely organic farming nation on Sunday (Nov 21), announcing it would immediately lift an import ban on pesticides and other agricultural inputs.
Vast tracts of farmland were abandoned after the import ban, first introduced in May.
Shortages have worsened in the past week, with prices for rice, vegetables and other market staples having doubled across Sri Lanka.
President Gotabaya Rajapaksa had justified the import ban by saying he wanted to make Sri Lankan farming 100 per cent organic.
Sri Lanka also shut its only oil refinery last month after running out of dollars to import crude.","lanka, farm, chemical, planned, fails, ban, drive, import, sri, month, oil, ministry, foreign, ends, rice, organic, food"
28,From e-commerce to e-farmer? Jack Ma starts digging for China,https://www.straitstimes.com/asia/east-asia/from-e-commerce-to-e-farmer-jack-ma-starts-digging-for-china,"BEIJING (THINK CHINA) - E-commerce titan, Internet technology mogul, business magnate - these are all labels that have been used on Alibaba founder Jack Ma.
But in the past few months, these labels seem to be gradually fading as Mr Ma appears to be switching focus from the virtual online world to farming.
For a while, the usually high-profile Mr Ma faded from the public eye, and some people even speculated that he had been ""hidden"".
""Today, China has eradicated poverty and is pushing its rural redevelopment strategy, and entering a new phase of common prosperity.
Meanwhile, Mr Ma has been making some big moves, the first being a visit to an agricultural set-up in Pinghu city in Jiaxing, Zhejiang province, on Sept 1.","common, alibaba, business, technology, starts, ecommerce, china, mr, ma, efarmer, prosperity, jack, billion, rural, digging"
29,Repeal of India's farm laws shows govt susceptible to public pressure: Analysts,https://www.straitstimes.com/asia/south-asia/repeal-of-farm-laws-shows-govt-susceptible-to-public-pressure-analysts-say,"NEW DELHI - Indian Prime Minister Narendra Modi is seen as a popular and decisive leader, backed by a strong parliamentary majority to take tough decisions.
So his supporters were deeply disappointed when he backtracked last week on three farm laws because he said he could not convince a section of Indian farmers.","analysts, indias, repeal, week, tough, pressure, supporters, parliamentary, shows, govt, popular, laws, public, strong, farm, susceptible, prime, narendra, seen, indian"
30,Rice-growing scheme to help boost crane's population in Cambodia,https://www.straitstimes.com/asia/se-asia/rice-growing-scheme-to-help-boost-cranes-population-in-cambodia,"The cranes favour the silt-laden wetlands of the Mekong Delta in Cambodia and Vietnam.
The local population of the birds has declined by more than 70 per cent over the past decade, said Mr Vorsak Bou, programme manager of BirdLife International in Cambodia.
But in recent years, as more farmers have turned to pesticides and artificial fertilisers, the cranes have been affected, with toxins building up in their bodies.
Under the initiative by BirdLife International and its local partner NatureLife Cambodia, farmers are incentivised to practise crane-friendly farming methods.
They also have to retain at least 5 per cent of their crops for the cranes to feed on.","cranes, help, farmers, initiative, strains, cambodia, boost, population, pesticides, fertilisers, ricegrowing, international, rice, scheme, cent"
31,Modi makes U-turn on controversial farm laws ahead of key state elections,https://www.straitstimes.com/asia/south-asia/indias-modi-to-repeal-controversial-farm-laws,"NEW DELHI - In a stunning rare reversal of policy, India's Prime Minister Narendra Modi announced on Friday (Nov 19) that he had decided to repeal three controversial farm laws, a move seen as an attempt to appease farmers ahead of elections in two key states.
Farmers have been up in arms over the laws, camping at the borders of the capital, since November last year.
Many of the protesting farmers are from the Sikh community in Punjab, one of two states - the other being Haryana - often described as the country's breadbasket.
Mr Modi apologised to the nation, acknowledging ""some deficiency"" on the government's part in explaining the laws to farmers.
The laws would have also led to the dismantling of government-regulated wholesale markets and allowed farmers to sell directly to private firms.","farm, state, elections, farmers, makes, private, minister, key, controversial, indias, ahead, uturn, modi, laws, protesting, act, sikh"
32,A farm based on the Singapore Food Story,https://www.straitstimes.com/life/a-farm-based-on-the-singapore-food-story,"SINGAPORE - When Mr Keith Loo and Ms Seet Hui Tze got married in March last year, just before the circuit breaker, they did not have a honeymoon.
Borders were closed.
There did not seem to be anywhere to go after work.
So the newly-weds channelled their energy towards a small farm.","tze, small, farm, seet, married, singapore, mr, loo, ms, newlyweds, workso, based, food"
33,"Olam bags $205m club loan allowing for demerger, IPO of Olam Food Ingredients",https://www.straitstimes.com/business/companies-markets/olam-bags-205m-club-loan-allowing-for-demerger-ipo-of-olam-food,"SINGAPORE (THE BUSINESS TIMES) - Olam International has secured a US$150 million (S$205.4 million) club loan, which could fund the proposed demerger and initial public offering (IPO) of its new operating group Olam Food Ingredients (OFI), which is into natural and sustainable food ingredients and solutions.
The club loan was sealed with DBS and the Singapore branch of the Industrial and Commercial Bank of China (ICBC).
It references the USD Secured Overnight Financing Rate, and has a one-year tenor with Olam Treasury as a co-borrower, Olam noted.
In September 2020, DBS and ICBC Singapore signed the Republic's first club loan pegged to the Singapore Overnight Rate Average (Sora) with Olam.
The $200 million facility was also the first Sora-pegged facility to be coupled with a cross-currency swap.","205m, loan, rate, facility, singapore, million, bags, secured, club, olam, ofi, ipo, demerger, allowing, ingredients, food"
34,First fully automated large-scale production line for plant-based protein launched in S'pore,https://www.straitstimes.com/singapore/community/first-fully-automated-large-scale-production-line-for-plant-based-protein,"SINGAPORE - Singapore's first fully automated large-scale production line for plant-based protein products was launched on Wednesday (Nov 24) in a specialised food innovation facility in Woodlands.
The output from the factory will also contribute to Singapore's food security target of producing 30 per cent of its nutritional needs locally by 2030.
Growthwell Foods has also received generous funding from Singapore's Temasek for specialised equipment in the facility to significantly improve the texture of its plant-based meat products to compete with other global plant-based meat providers.
In April this year, the Government launched the $60 million Agri-Food Cluster Transformation Fund, administered by the Singapore Food Agency (SFA), to support local farms that adopt technology and improve their farming systems.
The SFA also pumped about $23 million into 12 research projects on innovative food production methods in the same month.","production, fully, singapore, spore, largescale, plantbased, products, local, automated, foods, temasek, protein, singapores, facility, line, launched, food"
35,"India and US aim to expand farm trade, resolve market access issues",https://www.straitstimes.com/asia/south-asia/india-and-us-aim-to-expand-farm-trade-resolve-market-access-issues,"NEW DELHI (REUTERS) - India and the United States agreed in New Delhi on Tuesday (Nov 23) to expand farm trade and relaunched their joint trade policy forum (TPF) to resolve differences on issues including market access, as US Trade Representative Katherine Tai ended a two-day visit.
""The forum heralds a new beginning in India-US trade partnership,"" Mr Goyal said in a tweet after the meeting.
New Delhi and Washington have sparred over a range of issues including tariffs for over a year, hampering the prospects of concluding a bilateral trade package.
Tuesday's meeting followed Indian Prime Minister Narendra Modi's meeting with US President Joe Biden in Washington in September when both leaders agreed to expand trade ties to strengthen relations.
Ms Tai, accompanied in New Delhi by Deputy US Trade Representative Sarah Bianchi, earlier raised issues of market access restrictions, high tariffs, unpredictable regulations and restricted digital trade between the two countries.","trade, aim, farm, india, meeting, expand, access, tariffs, joint, market, issues, resolve, including, delhi, tai, agreed, indian"
36,Body of 50-year-old fish farm worker found in waters off Lim Chu Kang,https://www.straitstimes.com/singapore/body-of-50-year-old-fish-farm-worker-found-in-waters-off-lim-chu-kang,"SINGAPORE - The body of a fish farm worker was found in waters off Lim Chu Kang on Thursday (Oct 28) morning after he reportedly went missing the day before.
The Straits Times understands the dead man was from Myanmar and worked at a fish farm located off the coast of northern Singapore.
A video seen by ST showed a group of people believed to be workers from neighbouring fisheries pulling his body out of the sea.
A co-worker said he discovered that the man was missing after he arrived at the farm at about 11am on Wednesday.
ST understands that several fish farmers are raising funds for the man's family.","farm, worker, seen, singapore, man, kang, 50yearold, coworker, body, waters, fish, worked, lim, chu, understands"
