,news title,news source(url),content summary,keywords
10,"Singapore Red Cross pledges $50,000 to aid tsunami-hit Tonga and will launch fund-raising appeal",https://www.straitstimes.com/asia/australianz/singapore-red-cross-pledges-50000-to-aid-tsunami-hit-tonga-and-will-launch-fund-raising-appeal,"SINGAPORE - The Singapore Red Cross (SRC) has pledged $50,000 towards the Red Cross and Red Crescent Movement's emergency response to the volcanic eruption and tsunami in Tonga.
In a statement on Tuesday (Jan 18), it said that the assistance will go towards relief items such as food, water and shelter.
The SRC will also be launching a public fund-raising appeal to aid disaster relief and recovery operations, it added.
An underwater volcano off Tonga erupted on Jan 15, triggering a tsunami which has led to extensive damage to the South Pacific nation's small outer islands.
The confirmed death toll stands at two but the true extent of casualties is not clear with communications in Tonga cut.","relief, red, singapore, tsunamihit, pledges, launch, appeal, aid, jan, tsunami, fundraising, water, tonga, cross, src, volcano"
11,Images reveal devastation in tsunami-hit Tonga,https://www.straitstimes.com/asia/images-reveal-devastation-in-tsunami-hit-tonga,"The volcano erupted 30km into the air on Saturday and deposited ash, gas and acid rain across a large area of the Pacific.
New Zealand said two people have been confirmed killed, citing Tonga police on the island.
“With international phone lines and Internet connectivity still down, Dr Setoya’s satellite phone is one of the few ways to get information,” it said.
The UN health agency said around 100 houses had been damaged, with 50 destroyed on Tonga’s main island of Tongatapu.
‘Distress beacon’New Zealand released aerial images taken from a surveillance flight the previous day, revealing a tree-lined coast transformed from green to grey by the volcanic fallout.","volcano, reveal, health, devastation, tsunamihit, volcanic, phone, zealand, water, tonga, images, ash, island"
12,Oil spill triggered by tsunami devastates coast of Peru,https://www.straitstimes.com/world/oil-spill-triggered-by-tsunami-devastates-coast-of-peru,"The Environment Ministry estimated some 6,000 barrels of crude had spilled into a biodiverse swathe of Peru's Pacific - well above the seven gallons that the refinery's operator, Spanish oil company Repsol, initially reported to authorities when the disaster occurred on Saturday (Jan 22).
The government said the oil slick on the surface of the sea extended over an area of water equal to 320 football fields.
""We're facing one of the biggest eco-cides on our coast,"" President Pedro Castillo said from a polluted beach Thursday.
Repsol said on Friday that it was carrying out an internal investigation into the spill.
""We reaffirm our commitment to respond effectively and transparently to the public and the competent authorities, prioritising people and communities,"" the Spanish oil company said in a statement.","devastates, coast, triggered, company, spill, marine, state, spanish, tsunami, peru, sea, oil, respond, authorities"
13,Covid-19 concerns force UN to prepare aid for tsunami-hit Tonga at a distance,https://www.straitstimes.com/asia/covid-19-concerns-force-un-to-prepare-for-tsunami-hit-tongas-aid-at-a-distance,"The Red Cross said its teams in Tonga had confirmed that salt water from the tsunami and volcanic ash were polluting the drinking water sources of tens of thousands of people.
The Hunga Tonga-Hunga Ha’apai volcano erupted with a blast heard 2,300km away in New Zealand and sent tsunami waves across the Pacific Ocean.
""For the people of Tonga, we’re heading their way now with a whole lot of water,"" Mr Griffiths said in a release.
Aid flights from New Zealand and Australia could begin on Thursday, a Tongan official said, depending on the clear-up.
China will send help, including water and food, when the airport opened, a spokesperson of its foreign ministry said.","way, red, help, crisis, islands, tsunamihit, volcanic, looms, tsunami, zealand, water, tonga, international, supplies, pacific"
14,"'Tsunami' of Omicron, Delta Covid-19 cases will stretch health systems: WHO",https://www.straitstimes.com/world/europe/tsunami-of-omicron-delta-covid-19-cases-will-stretch-health-systems-who,"GENEVA (AFP) - A ""tsunami"" of Omicron and Delta Covid-19 cases will pile pressure on health systems already being stretched to their limits, the World Health Organisation (WHO) warned on Wednesday (Dec 29).
The WHO said the Delta and Omicron variants of concern were ""twin threats"" that were driving new case numbers to record highs, leading to spikes in hospitalisations and deaths.
""I am highly concerned that Omicron, being more transmissible, circulating at the same time as Delta, is leading to a tsunami of cases,"" WHO chief Tedros Adhanom Ghebreyesus told a press conference.
""This is and will continue to put immense pressure on exhausted health workers and health systems on the brink of collapse.""
He said the pressure on health systems was not only due to new coronavirus patients, but also large numbers of health workers falling ill with Covid-19.","tedros, health, delta, cent, cases, countries, tsunami, pressure, covid19, stretch, numbers, omicron, systems"
15,"5.0-magnitude quake strikes off Japan's Fukushima Prefecture, no tsunami warning issued",https://www.straitstimes.com/asia/east-asia/50-magnitude-quake-strikes-off-japans-fukushima-prefecture-no-tsunami-warning-issued,"TOKYO (XINHUA) - An earthquake with a magnitude of 5.0 struck off Japan's Fukushima prefecture on Wednesday (Dec 8), according to the Japan Meteorological Agency (JMA).
The temblor occurred at around 2.29am local time, with its epicentre at a latitude of 37.2 degrees north and a longitude of 141.2 degrees east, and at a depth of 20km.
The moderate quake logged three in some parts of Fukushima prefecture on the Japanese seismic intensity scale which peaks at seven.
So far, no tsunami warning has been issued.
Based on preliminary seismic data, the quake is not likely to have caused any significant damage, said the website of VolcanoDiscovery.","xinhua, fukushima, warning, tsunami, japans, quake, volcanodiscovery, degrees, prefecture, 50magnitude, strikes, website, seismic, issued"
16,"Quake hits northern Japan in early morning, no tsunami caused",https://www.straitstimes.com/asia/east-asia/quake-hits-northern-japan-in-early-morning-no-tsunami,"TOKYO (REUTERS) - A magnitude 5.9 earthquake hit Aomori and Iwate prefectures in northern Japan early on Wednesday (Oct 6) morning but did not cause a tsunami, Japan's Meteorological Agency said.
The quake struck at around 2.46am local time (1.46am Singapore time).
No damage was reported at a nuclear fuel preprocessing plant in the area, public broadcaster NHK said.
Two people were injured and taken to hospital, while train operators in the area suspended some train services for safety checks, the broadcaster said.
The quake registered 5-plus in the Japanese scale of earthquake intensity, a level that could cause damage to some buildings.","saidthe, caused, earthquake, northern, morning, japan, tsunami, area, quake, damage, broadcaster, hits, early, train, tokyo, cause"
17,Letter of the week: Labels like 'silver tsunami' reinforce ageism,https://www.straitstimes.com/opinion/forum/letter-of-the-week-labels-like-silver-tsunami-reinforce-ageism,"I wish to point out a myth perpetuated by the term ""silver tsunami"" (A 'silver tsunami' looms.
First, it is more accurate to describe the ageing population as a tidal wave rather than a tsunami.
A tsunami is typically caused by sudden shifts in tectonic plates causing a vertical displacement of a large mass of water.
Negative labels like ""silver tsunami"" reinforce ageism.
Our reframing efforts must enable people to see ageing as a continuous and normal process, not an anomalous event like a tsunami.","week, labels, reinforce, ageing, sudden, seniors, mindsets, tsunami, letter, result, population, forces, ageism, longer, silver"
18,Forum: Labels like 'silver tsunami' reinforce ageism,https://www.straitstimes.com/opinion/forum/forum-labels-like-silver-tsunami-reinforce-ageism,"I wish to point out a myth perpetuated by the term ""silver tsunami"" (A 'silver tsunami' looms.
First, it is more accurate to describe the ageing population as a tidal wave rather than a tsunami.
A tsunami is typically caused by sudden shifts in tectonic plates causing a vertical displacement of a large mass of water.
Negative labels like ""silver tsunami"" reinforce ageism.
Our reframing efforts must enable people to see ageing as a continuous and normal process, not an anomalous event like a tsunami.","labels, reinforce, ageing, sudden, seniors, forum, mindsets, tsunami, result, population, forces, ageism, longer, silver"
19,Tsunami or storm surge? NTU scientists find clues in the unseen,https://www.straitstimes.com/singapore/environment/tsunami-or-storm-surge-ntu-scientists-find-clues-in-the-unseen,"SINGAPORE - A research team from the Nanyang Technological University (NTU) has come one step closer to solving a riddle that has troubled geologists for years: Determining if traces of a coastal flooding event were left by a tsunami or a storm.
They found that the key to distinguishing the two events was not in how the sediments looked, but in what they contained: Tsunamis and storm surges leave behind sediments with unique microbial signatures.","unique, traces, unseen, storm, ntu, technological, surges, clues, troubled, team, tsunami, scientists, sediments, tsunamis, university, surge"
20,Japan city uses tsunami lessons for Covid-19 vaccinations,https://www.straitstimes.com/asia/east-asia/japan-city-uses-tsunami-lessons-for-covid-19-vaccinations,"SOMA, JAPAN (REUTERS) - Mr Tamio Hayashi, 77, doubted he could ever navigate the Internet systems set up to register for Covid-19 vaccines across most of Japan.
He hated the idea of using the ""troublesome"" systems that have broken down and befuddled other older residents, hobbling Japan's inoculation push.
Prime Minister Yoshihide Suga wants to have Japan's elderly population fully vaccinated by July and all adults by November.
But the city is also succeeding where much of Japan has not because of the painful lessons of the tsunami that killed 450 of the city's people as it swept 4km inland.
Distribution was then uneven, while reservation systems broke down or confused the elderly prioritised for shots.","elderly, cent, shots, uses, japan, tsunami, local, covid19, population, lessons, city, tokyo, vaccinations, systems"
21,Navigating China's regulatory tsunami,https://www.straitstimes.com/business/companies-markets/navigating-chinas-regulatory-tsunami,"SINGAPORE - It is an unusual sight to have two bellwether education stocks plunging by over 50 per cent in a single day.
When news broke late last week that Chinese regulators require K-12 private tutoring firms to be converted into non-profit institutions, the share prices of the two largest Chinese private education services - New Oriental Education & Technology Group and TAL Education Group - corrected by around 70 per cent.","week, technology, chinas, private, tsunami, tal, chinese, education, navigating, tutoring, group, unusual, regulatory, cent"
22,Large quakes spark Pacific-wide tsunami alerts,https://www.straitstimes.com/asia/australianz/mass-evacuations-as-large-quakes-spark-pacific-wide-tsunami-alert,"Tsunami alerts were issued in countries as far apart as Peru and Australia, after a trio of large quakes measuring 7.4, 7.3 and 8.1, plus dozens of powerful aftershocks, struck near New Zealand’s remote Kermadec Islands.
Eyewitnesses in the city said a small initial surge was visible, but did not appear to cause any damage.
Some people were mildly dehydrated during the wait, and local authorities have since lifted the tsunami warning.
The largest of the quakes struck around 1,000km off the New Zealand coast at 8.28am (3.28am Singapore time), the US Geological Survey said.
New Zealand’s National Emergency Management Agency said the remoteness of the quakes did not minimise their potential impact.","quakes, powerful, large, earthquake, potentially, south, tsunami, zealand, pacificwide, alerts, park, zealands, spark, town"
23,"Australia, NZ cancel tsunami warnings as threat from Pacific quake eases",https://www.straitstimes.com/asia/australianz/75-magnitude-earthquake-strikes-off-coasts-of-vanuatu-new-caledonia-usgs,"Those warnings were later cancelled, and authorities said any tsunami threat to mainlands in Australia and New Zealand had passed.
Australia cancelled a marine tsunami warning it had issued for residents of Lord Howe Island, a marine reserve more than 700km northeast of Sydney.
The US Tsunami Warning System said a tsunami watch was in effect for American Samoa and cited a potential for tsunamis in other regions including Vanuatu, Fiji and New Zealand.
In 2018, a 7.5-magnitude quake and subsequent tsunami on Indonesia's Sulawesi island left more than 4,300 people dead or missing.
A 9.1-magnitude quake struck off the coast of Indonesia's Sumatra island in 2004, triggering a tsunami that killed 220,000 throughout the region.","region, unexpected, warning, threat, triggering, australia, tsunami, warnings, eases, cancel, zealand, quake, cancelled, nz, pacific, island"
24,Ghost towns of Fukushima remain empty after decade-long rebuild,https://www.straitstimes.com/asia/east-asia/ghost-towns-of-fukushima-remain-empty-after-decade-long-rebuild,"TOKYO (BLOOMBERG) - Laid waste by a nuclear disaster a decade ago, Japan's Fukushima is still struggling to recover, even as the government tries to bring people and jobs back to former ghost towns by pouring in billions of dollars to decontaminate and rebuild.
As the country marks the 10th anniversary of the March 11, 2011, earthquake, tsunami and nuclear meltdown, parts of Fukushima are still off limits and the prefecture remains a laggard in recovery.
Its future is clouded by the 30 to 40 years it may take to decommission the crippled Fukushima Daiichi nuclear plant, near which millions of gallons of treated radioactive water are in storage.
Namie, where a stone monument lists about 200 townspeople who died in the tsunami, emptied out overnight following the accident at the nuclear plant about 8km south.
Other people my age return to help out, but none of them has come back to live,"" he said.","rebuild, fukushima, nuclear, disaster, return, tsunami, remain, population, plant, ghost, tokyo, come, decadelong, towns"
25,Tsunami warnings as third strong earthquake strikes off New Zealand,https://www.straitstimes.com/asia/australianz/tsunami-warning-after-69-quake-strikes-off-new-zealand,"The latest was a magnitude 8.0 quake that struck the Kermadec Islands, north-east of New Zealand's North Island.
This came shortly after a 7.4 magnitude earthquake in the same region.
Earlier, another large 7.2 magnitude earthquake struck about 900km away on the east of the North Island and was felt by tens of thousands, causing its own tsunami warning.
""The earthquake may not have been felt in some of these areas, but evacuation should be immediate as a damaging tsunami is possible,"" it added.
There was no tsunami threat to other areas of New Zealand.","warning, earthquake, north, felt, tsunami, warnings, zealand, zealands, struck, magnitude, east, strikes, areas, strong"
26,How $13 strawberries are helping one Japanese tsunami-hit town recover,https://www.straitstimes.com/asia/east-asia/a-strawberry-with-a-10-price-tag-helps-one-tsunami-hit-town-to-recover,"The coastal town of Yamamoto, a five-hour drive north of Tokyo, is home to about 12,000 residents and counts on strawberries for more than half of its agricultural output.
In the months following the disaster, the town encouraged corporations to help rebuild.
""Yamamoto now produces more strawberries than before the disaster,"" said Mr Keita Takahashi, a native of the town who works at GRA helping farmers.
Last June, the start-up raised 330 million yen in a Series B round, bringing total funding to 850 million yen since its founding.
Compared to some of the most luxurious examples, GRA's US$10 price tag is relatively modest: At an auction last year, 108 strawberries fetched 1.5 million yen - approximately S$171 per piece.","helping, million, strawberries, tsunamihit, yen, japanese, farmers, disaster, earthquake, japan, recover, yamamoto, prefecture, town, 13"
27,Body of woman missing in Japan 2011 tsunami identified after a decade,https://www.straitstimes.com/asia/east-asia/body-of-woman-missing-in-japan-2011-tsunami-identified-decade-on,"TOKYO (AFP) - The remains of a woman who went missing in the devastating 2011 Japan tsunami have been found and identified, police said Friday (March 5), days before the 10th anniversary of the disaster.
The confirmed death toll in the 2011 quake, tsunami and nuclear meltdown stood at 15,899 in December 2020, according to Japan's national police agency.
But more than 2,500 are officially still considered missing 10 years after the disaster.
Local media quoted Ms Okuyama's son as thanking the person who found the remains.
""I'm extremely happy that my mother was found as the 10th anniversary is coming up,"" Kyodo news agency quoted him as saying.","missing, woman, japan, tsunami, ms, body, remains, went, 2011, identified, 10th, quoted, anniversary, decade"
28,"North-east Japan jolted by 6.6 magnitude quake, no tsunami warning issued",https://www.straitstimes.com/asia/east-asia/magnitude-66-earthquake-strikes-off-coast-of-japan-near-fukushima,"TOKYO (REUTERS) - An earthquake with a magnitude of 6.8, revised up from an earlier estimate of 6.6, jolted north-east Japan on Saturday (May 1), shaking buildings 400km away in Tokyo and raising the possibility of landslides closer to the epicentre.
No tsunami alert was issued after the quake, which struck at 10.27am Japan time (9.27am Singapore time) off the coast of Miyagi prefecture at a depth of 5km, the Japan Meteorological Agency (JMA) said.
Tokyo Electric Power reported there were no issues at the devastated Fukushima Daiichi nuclear plant, wrecked by a massive earthquake and tsunami in north-east Japan in March 2011, and sited some 105km from the epicentre of Saturday's quake.
The coast off north-east Japan has been hit by multiple earthquakes in recent months, including a magnitude 7.2 quake in March and a similar sized one in February.
The magnitude 9 quake in 2011 was one of the strongest earthquakes on record.","saidthe, warning, epicentre, northeast, tsunami, japan, issues, quake, jma, issued, magnitude, tokyo, 66, jolted"
29,"Quake hits Japan area devastated a decade ago, tsunami alerts lifted",https://www.straitstimes.com/asia/east-asia/72-magnitude-quake-off-north-east-japan-tsunami-advisory-issued,"TOKYO (REUTERS) - An earthquake struck north-eastern Japan on Saturday (March 20), hitting areas devastated by the 2011 disaster, generating a tsunami of 1m and shaking buildings.
All tsunami alerts were lifted about an hour later, broadcaster NHK said after warning the public not to go near the shore.
Tokyo Electric Power said it found no irregularities at its Fukushima Daiichi nuclear plant - wrecked by the massive March 2011 quake that caused nuclear meltdowns and mass evacuations.
There were no irregularities at Tohoku Electric Power Co's Onagawa nuclear plant, the nuclear regulator said in an e-mail.
About 200 households in Kurihara city, Miyagi prefecture, lost power because of the quake, the trade and industry ministry said.","nuclear, devastated, lifted, tohoku, power, japan, tsunami, shaking, quake, alerts, irregularities, hits, prefecture, area, plant, ago, decade, nhk"
30,Japan quake brings back memories of deadly 2011 tsunami,https://www.straitstimes.com/asia/east-asia/japan-quake-brings-back-memories-of-deadly-2011-tsunami,"The 7.3 magnitude quake struck shortly before Saturday midnight cracked walls, shattered windows and set off a landslide in Fukushima, the area closest to the epicentre.
The Japan Meteorological Agency said the quake was believed to be an aftershock from the magnitude 9.0 quake on March 11, 2011, that set off a tsunami, killing nearly 20,000 people along a wide swathe of north-eastern Japan, and the Fukushima nuclear accident, the world's worst in 25 years.
Ms Hoshino said Saturday's quake brought back frightening memories.
At least 121 people were injured, NHK national television said, including several who suffered fractures, but there were no reported deaths.
Repairs to East Japan Railway's Tohoku Shinkansen bullet train line could take around 10 days, national broadcaster NHK reported.","fukushima, shattered, swept, deadly, brings, hoshino, japan, tsunami, memories, whiskey, quake, reported, 2011, set, bar"
31,Japan remembers 2011 earthquake and tsunami,https://www.straitstimes.com/asia/east-asia/japan-remembers-2011-earthquake-and-tsunami,"People in Tokyo looking at memorial lanterns, made from traditional Japanese paper, adorned with messages for victims of Japan's strongest earthquake in history, as the country marked the disaster's 10th anniversary yesterday.
Some 22,000 people died or remain missing to this day as a result of the magnitude 9.0 quake in 2011, which triggered a tsunami that caused a reactor meltdown at a nuclear plant.","triggered, earthquake, yesterday, japan, tsunami, victims, remain, traditional, result, strongest, tokyo, 2011, world, remembers"
32,"Ten years after Fukushima, Japan remembers 'man-made' nuclear disaster",https://www.straitstimes.com/asia/east-asia/ten-years-after-fukushima-japan-remembers-man-made-nuclear-disaster,"TOKYO (REUTERS) - When a huge earthquake and tsunami struck Japan on March 11, 2011, devastating towns and triggering nuclear meltdowns in Fukushima, a stunned world watched the chaotic struggle to contain the world's worst nuclear disaster since Chernobyl.
""Fukushima is stamped for the rest of the history of nuclear energy,"" said Mr Kiyoshi Kurokawa, head of an investigation that concluded the disaster was ""profoundly man-made"".
Japan is again debating the role of nuclear power in its energy mix as the resource-poor country aims to achieve net carbon neutrality by 2050 to fight global warming.
Proponents say nuclear power is vital to decarbonisation.
The mass demonstrations against nuclear power seen in the wake of 3/11 have faded, but distrust lingers.","manmade, energy, fukushima, nuclear, mr, left, disaster, power, japan, plant, tokyo, remembers, cent"
33,Fukushima reverend prays for revival of radiation-hit church,https://www.straitstimes.com/asia/east-asia/fukushima-reverend-prays-for-revival-of-radiation-hit-church,"OKUMA, Japan (AFP) - Reverend Akira Sato dreams of hearing hymns echo once again through the church he was forced to leave behind after the Fukushima Daiichi nuclear disaster a decade ago.
Ten years after a tsunami overwhelmed the cooling systems at the nearby plant, sending it into meltdown, the Fukushima First Bible Baptist Church is a shell haunted by memories.
It lies in the approximately two per cent of Fukushima prefecture that is still a no-go area because of radiation.
The 63-year-old reverend was outside Fukushima when the earthquake struck, and it fell to pastor Masashi Sato to shepherd dozens of the church's faithful away from the Okuma church.
""I evacuated carrying just a few bottles of water and the Bible,"" said the pastor, who is not related to the reverend.","pastor, sato, fukushima, okuma, dozens, revival, sit, earthquake, reverend, church, radiationhit, prays, forced"
34,Large earthquakes spark Pacific-wide tsunami alerts,https://www.straitstimes.com/asia/australianz/large-earthquakes-spark-pacific-wide-tsunami-alerts,"WELLINGTON • Tsunami sirens rang out in coastal communities across the South Pacific, as a cluster of powerful earthquakes triggered warnings for tens of thousands of residents to rush to higher ground.
Tsunami alerts were issued in countries as far apart as Peru and Australia yesterday, after a trio of large quakes measuring 7.4, 7.3 and 8.1, and dozens of powerful aftershocks, struck near New Zealand's remote Kermadec Islands.
Eyewitnesses in the city said a small initial surge was visible, but did not appear to cause any damage.
New Zealand's National Emergency Management Agency said the remoteness of the quakes did not minimise their potential impact.
The South Pacific nation recently marked the 10th anniversary of the Christchurch earthquake, when a 6.3-magnitude tremor resulted in 185 deaths in the South Island city.","quakes, warned, powerful, higher, residents, large, south, tsunami, pacificwide, alerts, zealands, spark, pacific, earthquakes, sirens, communities"
