,date,location,news title,news source(url),content summary,keywords,class_name
10,09/2017,"Last week, we discussed the potential health and performance concerns of exercise",Train smart and run hard to beat the heat,https://www.straitstimes.com/sport/train-smart-and-run-hard-to-beat-the-heat,"Last week, we discussed the potential health and performance concerns of exercise-induced heat stress, especially when one is not used to exercising in the heat.
With increasingly warmer weather in Singapore, it is important for runners to be cognisant of some common tricks and strategies to combat heat stress.
Some of these strategies can be as simple as changing behaviour, while others may involve specific training or physiological adaptation.
TRAIN IN THE COOLRunning in the early mornings or late evenings will help you avoid the heat from the sun.
Mok usually does his long runs at the weekend, starting as early as 6am to finish by 8am, effectively running mostly under cooling conditions.","beat, week, strategies, train, early, warmer, running, heat, weather, hard, usually, weekend, run, smart, work",Severe weather disruptions
11,12/2018,HONG KONG (REUTERS) ,'Silent emergency' as heat risks rise in Hong Kong - and globally,https://www.straitstimes.com/asia/east-asia/silent-emergency-as-heat-risks-rise-in-hong-kong-and-globally,"""Even if there is a window, there is no ventilation and some flats are very scary,"" said Yu, of the homes on Hong Kong's Chun Tin street.
Average summer temperatures in this city of 7.4 million people have risen swiftly over the past century, according to a study by researchers including Emily Chan, who directs the Centre for Global Health at The Chinese University of Hong Kong.
With more people moving to cities globally, the risks are rising as well, it said.
STEAMY CITYThe subtropical city of Hong Kong has a unique set of heat challenges and opportunities that make it a useful case study.
Its dense urban living, combined with a humid climate, means growing heat threatens, with average high temperatures in the summer hitting 31 or 32 deg C.","yu, emergency, silent, risks, organisation, hong, set, heat, summer, rise, health, world, global, globally, kong",Severe weather disruptions
12,10/2021,SINGAPORE ,"S'pore at risk of heatwaves, more dengue outbreaks as climate change worsens health woes: Report",https://www.straitstimes.com/singapore/environment/spore-at-risk-of-heatwaves-and-more-dengue-outbreaks-as-climate-change-worsens,"Over 90 researchers, including two from Singapore, from various institutions and United Nations agencies contributed to the new Lancet Countdown report.
They tracked 44 indicators of health impacts that are directly linked to climate change, from the lethality of extreme weather events to food security scares.
The report also stressed that key health trends are getting worse and exacerbating existing health and social inequities, especially in poorer nations.
""The Lancet Countdown report shows that many countries are under-prepared for the health effects of climate change.""
The researchers are among other healthcare professionals who are pinning their hopes on the United Nations' climate change conference in Glasgow that will begin in 10 days.","climate, researchers, singapore, outbreaks, worsens, countries, woes, heat, lee, health, dengue, report, nations, spore, change, risk, heatwaves",Severe weather disruptions
13,02/2022,SINGAPORE ,"Singapore Airshow innovations: Hybrid electric Terrex vehicle, wearable air-con",https://www.straitstimes.com/singapore/singapore-airshow-innovations-hybrid-electric-terrex-vehicle-wearable-air-con,"SINGAPORE - Global technology, defence and engineering group ST Engineering will return to the Singapore Airshow 2022, to be held from Feb 15 to 18, as its largest exhibitor.
Here are some of its latest technologies on display.
Hybrid TerrexThe latest version of the infantry fighting vehicle can be used to launch drones and robots, as well as act as a command centre.
Intelligence gathered from drones could be provided to soldiers on the ground for better situational awareness.
An electric vehicle mode allows for more stealthy operations.","latest, terrex, wearable, singapore, aircon, drones, used, innovations, vehicle, hybrid, version, electric, technology, terrexthe, airshow, engineering, technologies",Severe weather disruptions
14,07/2020,LONDON (REUTERS) ,Eat or stay cool? Cities test ways to protect the poor from rising heat,https://www.straitstimes.com/world/europe/eat-or-stay-cool-cities-test-ways-to-protect-the-poor-from-rising-heat,"With television reports on heat risks often featuring images of sweating joggers or outdoor workers, many people do not realise they also threatened inside, she said.
Tel Aviv has held competitions to design innovative and beautiful shading structures for sidewalks and public spaces, Ms Vetter said.
Cape Town, concerned about water scarcity, has focused on installing water-thrifty spray parks rather than swimming pools to cool residents on hot days, she added.
Solutions that address those concerns and heat risks together can be the most effective and welcome, he added.
The poor and vulnerable should continue to be the focus of efforts to ease heat risks in New York and elsewhere, she noted.","public, york, poor, cities, test, stay, protect, cool, ms, city, ways, heat, risks, residents, rising, eat, vetter",Severe weather disruptions
15,11/2018,LONDON (REUTERS) ,Global warming will increase heat-related death and disease,https://www.straitstimes.com/world/europe/global-warming-will-increase-heat-related-death-and-disease,"LONDON (REUTERS) - Climate change is making more people around the world vulnerable to heat exposure, putting them at greater risk of heart and kidney disease, heat stress, and other heat-related killers, scientists warned on Wednesday (Nov 28).
Global warming's effects look most serious for ageing and urban populations and people with chronic health conditions.
According to the World Health Organisation (WHO), climate change affects many factors influencing health, including clean air and water, food and shelter.
It estimates that between 2030 and 2050, climate change could cause an additional 250,000 deaths a year due to malnutrition, diarrhoea, malaria and heat stress.
Some 153 billion hours of labour were lost last year due to heat exposure, it said.","vulnerable, york, lancet, heat, increase, health, disease, world, global, heatrelated, exposure, death, change, warming, risk, climate",Severe weather disruptions
16,09/2020,BRUSSELS (BLOOMBERG) ,Extreme heat made last month the 4th-hottest August on record,https://www.straitstimes.com/world/europe/extreme-heat-made-august-the-4th-warmest-on-record,"BRUSSELS (BLOOMBERG) - August 2020 will go down as the fourth-warmest August on record worldwide, with above average summertime heat in the United States and Mexico tempered slightly by below-average temperatures in parts of the Southern Hemisphere.
Global temperatures for the month spiked around 0.9 deg C above the historical average, according to a new report by Europe's Copernicus Climate Change Service.
Still, high temperatures recorded over the past few months have put 2020 on track to become the second-hottest or possibly the hottest year on record.
Extreme heat has fuelled the worst wildfire season in the Arctic, and that makes 2020 the second consecutive year to set a new record.
California is seeing widespread wildfire activity, with the second and third worst fires in the state's history recorded this year.","4thhottest, 2020, worst, reading, temperatures, second, extreme, heat, deg, states, recorded, record, wildfire, month",Severe weather disruptions
17,07/2019,NEW YORK (REUTERS) ,"Massive heat wave bakes central, eastern US, with sweaty night ahead",https://www.straitstimes.com/world/united-states/heatwave-gripping-eastern-central-us-to-intensify-over-weekend,"NEW YORK (REUTERS) - A gargantuan heat wave hunkered down over the central and eastern United States on Saturday (July 20), sending residents to cooling centres and inflicting on Washington a heat index of 106 deg F (41 deg C) with even steamier conditions in the forecast.
""It's pretty hot right now from the Plains states all the way through the Mississippi Valley to the East Coast,"" said Alex Lamers, a meteorologist with the National Weather Service's Weather Prediction Centre.
Tourists visiting the monuments and museums on the National Mall in Washington endured temperatures approaching 100 deg F (37.8 deg C).
Nighttime temperatures have remained so high in the heat wave, which started midweek in the Midwest, that Rockford, Illinois, for the first time since 1918 matched its all-time record by failing to fall below 80 deg F (27 deg C) on Friday.
High temperatures combined with high humidity make it feel even hotter, called the heat index.","york, wave, central, temperatures, high, sweaty, f, ahead, massive, heat, eastern, bakes, night, deg, washington, states, weather",Severe weather disruptions
18,01/2019,"The heat has scorched Melbourne and Canberra, the capital, as well. Temperatures hit 42.8 deg C last Friday in Melbourne and 41 deg C in Canberra last Saturday, the fifth day this month that temperatures have hit 40 deg C or above in the Australian capital.

The extreme heat has taxed the electricity grid, triggering widespread blackouts in southern Australia last Friday because of surging demand. The authorities said more than 200,000 customers were without power after forced outages to reduce the risk of the entire grid failing.

But while the heat might seem extreme now, it is likely to be a lot worse in future, say climate scientists.

That is worrying the health services as heatwaves are a major killer. In Australia, since 1900, they have killed more people than the sum of all other natural hazards, a study published in 2014 found.

The world has already warmed 1 deg C on average since the mid",Australia fries as the heat soars higher,https://www.straitstimes.com/asia/australianz/australia-fries-as-the-heat-soars-higher,"Temperatures hit 42.8 deg C last Friday in Melbourne and 41 deg C in Canberra last Saturday, the fifth day this month that temperatures have hit 40 deg C or above in the Australian capital.
The extreme heat has taxed the electricity grid, triggering widespread blackouts in southern Australia last Friday because of surging demand.
The world has already warmed 1 deg C on average since the mid-19th century.
The heat and ongoing drought in much of south-east Australia have primed conditions this summer for fires.
As of this week, the heat has abated with the forecast of a low-intensity heatwave for south-east Australia until Friday.","week, temperatures, fries, australia, heat, extreme, c, higher, deg, australian, water, dozens, soars",Severe weather disruptions
19,08/2019,"TOKYO • The running segment in the 2020 Olympics women's triathlon qualifying event yesterday was cut from 10km to 5km because of heat concerns, the latest test event to be beset by extreme temperatures.

The International Triathlon Union made the decision based on concerns that, with temperatures around 32 deg C, conditions at the end of the swim",Heat forces shortening of Olympic triathlon test,https://www.straitstimes.com/sport/heat-forces-shortening-of-olympic-triathlon-test,"TOKYO • The running segment in the 2020 Olympics women's triathlon qualifying event yesterday was cut from 10km to 5km because of heat concerns, the latest test event to be beset by extreme temperatures.
Tokyo 2020 spokesman Masa Takaya said lessons will be learnt.
""The ITU informed Tokyo 2020 that a comprehensive review is necessary soon after the competitions this week,"" Takaya said in a statement to Reuters.
Athletes had complained about a bad smell during the swimming marathon test event at the venue last weekend.
Kyodo News reported last weekend that several athletes were treated for heatstroke at the World Rowing Junior Championships, another test event, at the Sea Forest Waterway course in Tokyo Bay between two reclaimed islands.","forces, olympic, tokyo, athletes, 2020, temperatures, test, triathlon, event, itu, shortening, heat, water",Severe weather disruptions
20,07/2019,MONTREAL (AFP) ,'Arctic heat wave' hits world's northernmost settlement,https://www.straitstimes.com/world/arctic-heat-wave-hits-worlds-northernmost-settlement,"Alert's record was marked at 69.8 deg F on Sunday and 68 deg F the following day.
The average daily temperature in Alert in July is 38 deg F (3 deg C), with average maximum temperatures of 43 deg F (6 deg C).
""It is not exaggerated to call it an Arctic heatwave,"" said senior climatologist David Phillips at Environment and Climate Change Canada, a government office.
""The north, from Yukon right to the Arctic islands, saw the second or third warmest spring on record.""
The current heatwave is due to a high pressure front over Greenland, which is ""quite exceptional"" and feeds southerly winds on the Arctic Ocean, said Dr Castellan.","worlds, canadian, hits, arctic, temperatures, north, f, heatwave, record, temperature, deg, settlement, dr, northernmost, alert",Severe weather disruptions
21,03/2019,MUMBAI (THOMSON REUTERS FOUNDATION) ,India's Kerala to give workers 3-hour siesta to help beat the heat,https://www.straitstimes.com/asia/south-asia/indias-kerala-to-give-workers-3-hour-siesta-to-help-beat-the-heat,"MUMBAI (THOMSON REUTERS FOUNDATION) - Workers in India's Kerala state are now getting a three-hour afternoon siesta as part of a series of benefits aimed at combating soaring temperatures and improving labour conditions, government officials said on Wednesday (March 6).
So we are making arrangements for workers and have announced a three-hour break from noon until 3pm,"" said Mr Sreedharan Tulasidharan, a labour commissioner with the Kerala government.
There are an estimated three million migrant workers in Kerala, which offers daily wages that are up to three times higher than in other Indian states, labour rights campaigners say.
We are nurturing and treating them well,"" Mr Tulasidharan told the Thomson Reuters Foundation by phone.
The World Health Organisation says heat-stress, linked to climate change, is likely to cause 38,000 extra deaths a year worldwide between 2030 and 2050.","workers, 3hour, beat, labour, mr, indias, temperatures, siesta, help, heat, threehour, world, tulasidharan, states, kerala, thomson",Severe weather disruptions
22,11/2019,"Working with his father full time was a turning point for him.

""For a start, when I worked in office jobs, I used to enjoy shopping for working clothes and dressing up nicely for work. Now that I am a hawker, my attire became T",Handsome hawkers turn up the heat,https://www.straitstimes.com/lifestyle/food/hawkers-turn-up-the-heat,"""For a start, when I worked in office jobs, I used to enjoy shopping for working clothes and dressing up nicely for work.
At 11am, he eats rice and vegetables from the economy rice stall for lunch.
""If I want to operate our stall, I have to make sure my body can go the distance,"" he says.
But the good looks of Mr Jeevan Ananthan, 28, attracted attention online and drew requests for media interviews.
""I am used to Jeevan getting attention from girls, but the focus of my video was on his cooking.""","stall, noodles, mr, used, father, rice, hawker, heat, hawkers, video, turn, handsome, cooking, work",Severe weather disruptions
23,05/2018,SINGAPORE ,"Local tropical weather ""a perfect recipe"" for heat injuries, say doctors",https://www.straitstimes.com/singapore/local-tropical-weather-a-perfect-recipe-for-heat-injuries-say-doctors,"SINGAPORE - Hot and humid Singapore is ""a perfect recipe"" for heat injuries, say doctors.
In severe cases, this might lead to heatstroke, which can cause multiple organ failure and even death, and is a very real risk in a tropical climate.","injuries, singapore, multiple, doctors, say, perfect, weather, heat, tropical, real, severe, local, recipe, organ, risk",Severe weather disruptions
24,05/2018,"An external review panel comprising doctors in the public healthcare sector will be convened to independently review the existing strategy for heat injury prevention and management, a senior Singapore Armed Forces (SAF) commander said yesterday.

This is a separate track from the Committee of Inquiry (COI) that has been convened and police investigations, that could lead to a coroner's inquiry.

In a letter to The Straits Times Forum published today, Brigadier",Medical panel to review SAF strategy for heat injuries,https://www.straitstimes.com/singapore/medical-panel-to-review-saf-strategy-for-heat-injuries,"An external review panel comprising doctors in the public healthcare sector will be convened to independently review the existing strategy for heat injury prevention and management, a senior Singapore Armed Forces (SAF) commander said yesterday.
Preliminary investigations showed that in CFC Lee's case, heatstroke prevention measures were taken ""and temperature recordings were normal prior to the activity"", BG Liow said.
Wearable technology to detect and prevent heat injuries have also been evaluated but as yet no suitable solutions have been found, said BG Liow.
In a separate statement, the SAF outlined its heatstroke prevention measures:TEMPERATURE-TAKINGSoldiers who are physically unwell have a higher risk of suffering from heat-related injuries.
Soldiers with temperatures above 37.5 deg C will not be allowed to participate in training.","times, injuries, measures, zero, unwell, panel, training, prevention, heatstroke, heat, saf, strategy, review, soldiers, temperaturetaking, medical",Severe weather disruptions
25,09/2017,LONDON (Thomson Reuters Foundation) ,Silent killer: Sweltering planet braces for deadly heat shocks,https://www.straitstimes.com/world/silent-killer-sweltering-planet-braces-for-deadly-heat-shocks,"But heat is a silent killer,"" said Sarah Perkins-Kirkpatrick, a climate change researcher at Australia's University of New South Wales.
Around the world, heat is a neglected and poorly understood disaster, in part because few of the deaths it produces are directly attributed to heatwaves.
Many parts of the world, especially those that have already seen substantial heat deaths, are experimenting with ways to lower the risks.
Global efforts, including as part of the Sustainable Development Goals, to bring power to those without it could play a significant role in reducing heat deaths, experts say.
But U.S. President Donald Trump's Republican-led administration has denied climate change is a significant risk.","climate, change, temperatures, cities, silent, killer, shocks, sweltering, heat, planet, world, deaths, water, hot, deadly, heatwaves, braces",Severe weather disruptions
26,07/2018,LONDON (THOMSON REUTERS FOUNDATION) ,Rising heat linked to suicide spikes in US and Mexico,https://www.straitstimes.com/world/rising-heat-linked-to-suicide-spikes-in-us-and-mexico,"Researchers examined decades worth of temperature data against suicide rates in US counties and Mexican municipalities, some dating back to the 1960s, and found that hotter weather was linked to increases in deaths by suicide.
The paper, published in the journal Nature Climate Change, also analysed the language used in over half a billion Twitter posts and found that suicide rates and depressive language increased during hot weather.
Suicide rates rose in nearly every US state from 1999 to 2016, with the rate spiking by more than 30 percent in half of the country, the Centers for Disease Control and Prevention reported in June.
""When talking about climate change, it's often easy to think in abstractions,"" said Burke, an assistant professor in environmental sciences.
The World Health Organization says that heat stress, linked to climate change, is likely to cause 38,000 extra deaths a year worldwide between 2030 and 2050.","united, climate, temperatures, mexico, rates, spikes, temperature, heat, rise, rising, world, linked, change, warming, suicide",Severe weather disruptions
27,11/2021,"BRISBANE, AUSTRALIA (AFP) ","Coral bleaching impacts 98% of Great Barrier Reef, study shows",https://www.straitstimes.com/asia/australianz/coral-bleaching-impacts-98-of-great-barrier-reef-study-shows,"BRISBANE, AUSTRALIA (AFP) - Coral bleaching has affected 98 per cent of Australia's Great Barrier Reef since 1998, leaving just a fraction of the world's largest reef system untouched, according to a study published on Friday (Nov 5).
Lead author Terry Hughes, from the ARC Centre of Excellence for Coral Reef Studies at James Cook University, said the frequency, intensity and scale of climate-fuelled marine heatwaves that cause coral bleaching are increasing.
Bleaching occurs when healthy corals become stressed by spikes in ocean temperatures, causing them to expel algae living in their tissues which drains them of their vibrant colours.
The Great Barrier Reef has suffered three mass bleaching events during heatwaves in 2016, 2017 and 2020, leaving many affected corals struggling to survive.
The reef is also susceptible to harm from cyclones and outbreaks of crown-of-thorns starfish, which eat the coral, with both factors becoming more damaging due to climate change.","climate, great, reef, coral, impacts, mass, shows, cent, barrier, corals, bleaching, study, heatwaves, reefs, 98",Severe weather disruptions
28,06/2017,LOS ANGELES (Reuters) ,2 die from heat in sweltering California: Reports,https://www.straitstimes.com/world/united-states/2-die-from-heat-in-sweltering-california-reports,"LOS ANGELES (Reuters) - Four people, including a homeless person and two hikers, have died from the record-breaking heat in the US Southwest, media reports said, where triple-digit temperatures have driven residents indoors and cancelled airline flights.
The first two fatalities, the first recorded in the three-day heat wave, took place on Monday in Santa Clara County, south of San Francisco, and included a homeless person found in a car, the San Jose Mercury News reported.
The victims were identified only as a 72-year-old man and an 87-year-old woman.
""Hyperthermia and heat stress happen when a body's heat-regulation system cannot handle the heat.
The extreme heat, brought on by a high-pressure system parked over the Four Corners region where Colorado, Utah, New Mexico and Arizona meet, has boosted temperatures well above normal across much of the Southwest.","person, temperatures, santa, homeless, system, heat, sweltering, california, southwest, reports, happen, san, die, jorden",Severe weather disruptions
29,11/2021,GLASGOW (AFP) ,"How climate summit pledges may, or may not, affect heating",https://www.straitstimes.com/world/europe/how-climate-summit-pledges-may-or-may-not-affect-heating,"GLASGOW (AFP) - After a week of negotiations filled with grand announcements from nations promising to accelerate the decline of fossil fuels, where do the pledges put projected emissions halfway through the COP26 climate summit?
Countries came to the United Nations-led negotiations with their latest national emissions-cutting pledges - known as nationally determined contributions, or NDCs - placing earth on course to warm 2.7 deg C this century.
Experts say these and other pledges could have a significant effect on temperature rises.
""What is essential is for governments to turn their pledges into clear and credible policy actions and strategies today.""
They found that the new promises - again, if implemented - would warm earth by 1.9 deg C by 2100.","emissions, week, warm, affect, pledges, summit, netzero, implemented, c, nations, deg, heating, climate",Severe weather disruptions
30,01/2017,"In the Australian town of Moree, it comes as little consolation for residents to know that the relentless summer heat they have been enduring has set a new record.

The town, of about 13,000 people, yesterday experienced its 31st consecutive day of temperatures of 35 deg C or higher. The previous longest spell, which occurred in 1981, lasted 17 days.

The mayor, Ms Katrina Humphries, described the weather as ""horrible"" but said residents were coping. ""We move slowly, we keep hydrated,"" she told The Straits Times (ST). ""We are pretty good at finding shady spots.""

Australia is officially the world's driest continent, where temperatures are already 8 deg C higher than global averages.

But, many parts of the country are experiencing record",Australia gets ready for era of 'extreme heat',https://www.straitstimes.com/world/australia-gets-ready-for-era-of-extreme-heat,"The town, of about 13,000 people, yesterday experienced its 31st consecutive day of temperatures of 35 deg C or higher.
Australia is officially the world's driest continent, where temperatures are already 8 deg C higher than global averages.
But, many parts of the country are experiencing record-breaking temperatures in what has been called a new era of ""extreme heat"".
In Australia, the warming trend has prompted a push for the nation to become ""heat smart"" and adopt measures to prevent heat-related deaths.
Several states and territories have adopted specific ""heat health plans"" to detail how the emergency and health authorities should respond to extreme heatwaves.","public, ready, temperatures, australia, residents, heat, extreme, nights, health, gets, era, deg, past, heatwaves",Severe weather disruptions
31,09/2017,DUBAI (AFP) ,"Football: Qatar, Fifa urged to protect 800,000 workers from desert heat",https://www.straitstimes.com/sport/football/football-qatar-fifa-urged-to-protect-800000-workers-from-desert-heat,"The New York-based organisation also called on the Gulf state to investigate workers' deaths and make those findings public.
He also called on football's world governing body, Fifa, national associations and World Cup sponsors to demand further protection from heat and humidity for Qatar's workers.
In rare praise for Qatar's World Cup organisers, it said the government should follow the example of compulsory work-to-rest ratios introduced for the 12,000 helping build venues for 2022.
""If Qatar's World Cup organisers can mandate a climate-based work ban, then the Qatar government can follow its lead,"" added Whitson.
The HRW said there had been 10 deaths reported by World Cup organisers between October 2015 and July 2017, eight classified as ""non-work related"".","workers, football, desert, temperatures, protect, called, cup, heat, qatar, deaths, qatars, world, urged, qatari, fifa, 800000, working",Severe weather disruptions
